"Wave_time","State","StateFIPS","Start_Date","End_Date","N_State","Current President","Your State Governor"
"Late Jul","South Dakota",46,2020-07-10,2020-07-26,271,41.1828256,51.63819474
"Late Jul","Tennessee",47,2020-07-10,2020-07-26,479,45.03560199,45.60486231
"Late Jul","Texas",48,2020-07-10,2020-07-26,491,31.28527467,40.5622969
"Late Jul","Utah",49,2020-07-10,2020-07-26,456,32.60309367,44.87665955
"Late Jul","Virginia",51,2020-07-10,2020-07-26,410,32.3845824,57.01302826
"Late Jul","Vermont",50,2020-07-10,2020-07-26,216,32.32415743,74.46068273
"Late Jul","Washington",53,2020-07-10,2020-07-26,456,33.41213895,52.9401
"Late Jul","Wisconsin",55,2020-07-10,2020-07-26,448,29.5731338,44.99402319
"Late Jul","West Virginia",54,2020-07-10,2020-07-26,364,44.28647809,54.2868709
"Late Jul","Wyoming",56,2020-07-10,2020-07-26,156,51.01203021,58.16998911
"Late Aug","United States",NA,2020-08-07,2020-08-26,21496,33.69991929,49.00238179
"Late Aug","Alaska",2,2020-08-07,2020-08-26,127,26.11551165,41.00500104
"Late Aug","Alabama",1,2020-08-07,2020-08-26,524,48.35874514,44.5368382
"Late Aug","Arkansas",5,2020-08-07,2020-08-26,391,45.1089546,44.1712674
"Late Aug","Arizona",4,2020-08-07,2020-08-26,467,31.8738823,31.35908848
"Late Aug","California",6,2020-08-07,2020-08-26,818,26.03625307,47.66749525
"Late Aug","Colorado",8,2020-08-07,2020-08-26,480,30.0769233,50.81634233
"Late Aug","Connecticut",9,2020-08-07,2020-08-26,416,32.06729349,64.31743612
"Late Aug","Delaware",10,2020-08-07,2020-08-26,285,34.04726005,59.39061319
"Late Aug","Florida",12,2020-08-07,2020-08-26,595,29.18321246,29.42837103
"Late Aug","Georgia",13,2020-08-07,2020-08-26,608,34.46031375,35.01797032
"Late Aug","Hawaii",15,2020-08-07,2020-08-26,261,27.68625701,31.60618675
"Late Aug","Iowa",19,2020-08-07,2020-08-26,257,36.17517872,27.29386859
"Late Aug","Idaho",16,2020-08-07,2020-08-26,273,51.24347787,33.90130594
"Late Aug","Illinois",17,2020-08-07,2020-08-26,510,29.24540007,58.06245789
"Late Aug","Indiana",18,2020-08-07,2020-08-26,467,36.4377475,43.95755407
"Late Aug","Kansas",20,2020-08-07,2020-08-26,442,41.10639928,47.34093506
"Late Aug","Kentucky",21,2020-08-07,2020-08-26,518,43.67134467,57.49600584
"Late Aug","Louisiana",22,2020-08-07,2020-08-26,446,44.28753249,52.35962997
"Late Aug","Massachusetts",25,2020-08-07,2020-08-26,606,23.62907615,69.02985777
"Late Aug","Maryland",24,2020-08-07,2020-08-26,545,27.93579544,71.99671791
"Late Aug","Maine",23,2020-08-07,2020-08-26,286,39.71204408,54.79134283
"Late Aug","Michigan",26,2020-08-07,2020-08-26,585,32.38238609,62.23854777
"Late Aug","Minnesota",27,2020-08-07,2020-08-26,536,34.55133247,49.86120081
"Late Aug","Missouri",29,2020-08-07,2020-08-26,512,41.00933208,36.61610248
"Late Aug","Mississippi",28,2020-08-07,2020-08-26,404,44.69185796,35.0091394
"Late Aug","Montana",30,2020-08-07,2020-08-26,212,30.4411062,48.29385576
"Late Aug","North Carolina",37,2020-08-07,2020-08-26,517,31.6527972,49.15387263
"Late Aug","North Dakota",38,2020-08-07,2020-08-26,195,38.55289768,55.28738313
"Late Aug","Nebraska",31,2020-08-07,2020-08-26,307,35.55934856,40.65196308
"Late Aug","New Hampshire",33,2020-08-07,2020-08-26,205,34.4269655,61.59647414
"Late Aug","New Jersey",34,2020-08-07,2020-08-26,523,28.47109082,58.95970263
"Late Aug","New Mexico",35,2020-08-07,2020-08-26,319,29.33146139,56.09381288
"Late Aug","Nevada",32,2020-08-07,2020-08-26,498,32.69373941,42.57953141
"Late Aug","New York",36,2020-08-07,2020-08-26,629,32.30717778,60.40279568
"Late Aug","Ohio",39,2020-08-07,2020-08-26,523,37.06777454,58.51187685
"Late Aug","Oklahoma",40,2020-08-07,2020-08-26,498,42.41209009,35.82977003
"Late Aug","Oregon",41,2020-08-07,2020-08-26,478,29.41754993,38.89416565
"Late Aug","Pennsylvania",42,2020-08-07,2020-08-26,520,38.49624479,47.95362642
"Late Aug","Rhode Island",44,2020-08-07,2020-08-26,257,20.30107806,56.96548748
"Late Aug","South Carolina",45,2020-08-07,2020-08-26,457,45.0329252,37.77390353
"Late Aug","South Dakota",46,2020-08-07,2020-08-26,191,35.38074787,47.42675214
"Late Aug","Tennessee",47,2020-08-07,2020-08-26,515,44.97976095,40.04257104
"Late Aug","Texas",48,2020-08-07,2020-08-26,647,30.94422637,34.46641289
"Late Aug","Utah",49,2020-08-07,2020-08-26,278,39.24853904,42.34295725
"Late Aug","Virginia",51,2020-08-07,2020-08-26,541,33.71521921,46.78278222
"Late Aug","Vermont",50,2020-08-07,2020-08-26,137,27.02743066,78.47220258
"Late Aug","Washington",53,2020-08-07,2020-08-26,497,25.84442675,50.25672096
"Late Aug","Wisconsin",55,2020-08-07,2020-08-26,450,29.0704077,43.18189423
"Late Aug","West Virginia",54,2020-08-07,2020-08-26,372,47.22243391,52.89283285
"Late Aug","Wyoming",56,2020-08-07,2020-08-26,144,45.76348749,50.88184344
"Late Sept","United States",NA,2020-09-04,2020-09-30,23050,34.29114384,48.40239519
"Late Sept","Alaska",2,2020-09-04,2020-09-30,188,35.64204302,37.15573154
"Late Sept","Alabama",1,2020-09-04,2020-09-30,457,51.21030643,47.02391898
"Late Sept","Arkansas",5,2020-09-04,2020-09-30,291,40.93804843,48.73191376
"Late Sept","Arizona",4,2020-09-04,2020-09-30,523,34.46133646,35.12856548
"Late Sept","California",6,2020-09-04,2020-09-30,1180,25.48094665,50.66547255
"Late Sept","Colorado",8,2020-09-04,2020-09-30,420,31.9241912,52.1743348
"Late Sept","Connecticut",9,2020-09-04,2020-09-30,434,24.1463813,59.19122015
"Late Sept","Delaware",10,2020-09-04,2020-09-30,322,30.01525386,48.9562778
