FIPS_x,Years of Potential Life Lost Rate (premature death),% Fair/Poor Health,percent_smokers,percent_obese,Food Environment Index,% Physically Inactive,percent Excessive Drinking,Percent Uninsured,PCP Rate,Preventable Hosp stays Rate,Percent Vaccinated Flu,High School Graduation Rate,Percent Some College,Percent Unemployed,Income Ratio,Average Daily PM2.5,Presence of water violation,Percent Severe Housing Problems,Severe Housing Cost Burden,Overcrowding,Inadequate Facilities,Life Expectancy,Number pre-mature Deaths,Percent Diabetic,HIV Prevalence Rate,Percent Food Insecure,Percent Insufficient Sleep,Percent Uninsured Adults,Percent Uninsured children,Median Household Income,Segregation Index non-white/ white,Population,percent < 18,percent 65 and over,percent African American,percent American Indian/Alaskan Native,percent Asian,percent Native Hawaiian/Other Pacific Islander,percent Hispanic,percent Non-Hispanic White,percent Not Proficient in English,percent Female,number Rural,State,cases_2022,Masks,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_65PlusPop_Pct
18163,8887.0,20,22,34,7.6,27,18,9.0,89.0,6109.0,55.0,81.0,66,3.2,4.6,12.5,No,15,13,2,1,76.4,2738.0,11,182.0,15,34,10.0,4.0,47456.0,45.0,181616,21.6,16.4,9.5,0.3,1.4,0.2,2.7,83.7,1,51.6,16474.0,IN,63921.17442272748,253.0,55.0,90.0
18167,9507.0,20,22,31,6.4,27,18,9.0,88.0,8242.0,48.0,89.0,62,4.3,4.9,11.3,No,16,14,2,1,75.6,1663.0,12,235.0,17,35,11.0,6.0,42497.0,30.0,107516,20.5,15.9,7.1,0.4,2.0,0.0,2.7,85.6,1,49.4,25623.0,IN,32768.50761836476,253.0,47.2,81.0
18169,9990.0,16,19,34,8.1,29,17,10.0,41.0,4519.0,48.0,87.0,57,3.5,3.7,12.3,No,11,9,1,1,75.6,484.0,13,40.0,12,34,11.0,7.0,50177.0,27.0,31443,20.9,20.4,0.7,0.8,0.5,0.0,2.7,94.4,0,51.5,16439.0,IN,9857.931520944285,253.0,40.1,80.7
18173,6264.0,16,16,34,8.3,25,18,7.0,158.0,5518.0,55.0,91.0,72,3.1,3.9,12.6,No,10,8,2,1,79.1,723.0,11,55.0,11,33,8.0,5.0,75727.0,27.0,62530,24.4,16.8,1.5,0.3,2.6,0.0,1.9,92.3,0,50.7,17493.0,IN,22564.86043219925,253.0,59.7,95.7
18175,10819.0,16,23,37,8.0,33,18,10.0,29.0,4117.0,43.0,90.0,47,3.7,3.9,11.5,No,12,10,2,1,74.3,503.0,12,56.0,13,34,12.0,7.0,47686.0,51.0,27827,23.0,16.8,0.5,0.2,0.3,0.0,1.4,96.8,0,50.1,21718.0,IN,7021.072400348236,253.0,38.7,73.2
18177,11324.0,20,21,31,7.3,32,17,11.0,62.0,4309.0,45.0,82.0,58,3.8,4.6,11.5,No,15,13,2,1,74.3,1269.0,13,135.0,16,32,13.0,7.0,44179.0,40.0,66185,22.0,18.7,4.9,0.4,1.0,0.1,2.9,88.2,1,51.6,22777.0,IN,21620.9980747804,253.0,45.9,81.5
18179,6094.0,15,18,30,8.4,24,17,8.0,68.0,5033.0,44.0,97.0,61,2.9,3.7,12.4,No,8,7,1,1,78.7,341.0,11,30.0,11,33,9.0,6.0,55221.0,18.0,27984,24.5,17.9,0.6,0.3,0.7,0.1,3.2,94.2,0,50.5,13973.0,IN,7563.634350130321,253.0,40.2,79.6
18181,7106.0,16,18,33,8.6,30,17,12.0,38.0,3889.0,49.0,86.0,59,3.3,3.5,11.7,No,10,8,2,1,77.7,345.0,15,94.0,10,35,12.0,10.0,52377.0,46.0,24182,23.5,19.9,0.5,0.7,0.6,0.0,8.6,89.0,2,50.3,16749.0,IN,7739.3927447993,253.0,51.8,95.0
18183,6499.0,14,19,35,8.7,27,18,8.0,54.0,3987.0,47.0,91.0,61,2.9,3.4,11.9,No,8,7,1,1,79.3,376.0,11,50.0,10,32,9.0,6.0,60126.0,25.0,33756,23.0,17.5,0.4,0.4,0.5,0.0,2.0,95.7,0,50.1,23692.0,IN,10898.08485537978,253.0,45.2,88.5
19005,5651.0,12,14,36,8.6,23,20,7.0,50.0,2138.0,30.0,94.0,62,4.0,4.6,8.9,No,9,6,2,1,79.4,164.0,10,43.0,11,29,8.0,5.0,49445.0,34.0,13884,23.2,22.3,1.7,0.7,0.5,0.3,6.6,90.4,2,49.1,10599.0,IA,3189.308004893711,82.0,50.1,85.3
19007,9714.0,15,16,39,7.9,33,18,6.0,72.0,4971.0,36.0,91.0,70,3.8,4.6,9.2,No,12,10,1,2,76.1,218.0,12,48.0,13,29,7.0,3.0,42274.0,29.0,12352,22.0,22.5,0.7,0.3,0.7,0.1,1.9,95.2,0,50.6,7507.0,IA,3362.2796280272705,82.0,44.1,79.4
19011,6863.0,12,15,33,8.7,24,21,4.0,19.0,3246.0,28.0,88.0,70,3.3,4.1,9.9,No,9,7,1,1,79.9,308.0,11,75.0,10,28,5.0,2.0,67946.0,30.0,25642,23.4,18.1,0.5,0.3,0.4,0.0,1.5,96.4,0,50.1,21032.0,IA,7072.577101300447,82.0,53.9,81.9
19013,6776.0,12,15,31,7.2,22,22,5.0,93.0,3456.0,56.0,89.0,69,3.8,4.4,9.4,No,15,13,2,1,79.0,1453.0,11,91.0,14,27,6.0,3.0,50426.0,50.0,132648,21.7,16.0,9.2,0.4,2.3,0.3,4.3,81.6,2,51.0,17672.0,IA,38140.953084400666,82.0,56.1,91.4
19015,4741.0,13,14,36,8.4,21,21,4.0,53.0,4217.0,57.0,96.0,67,2.5,3.9,9.1,Yes,13,10,2,1,79.6,286.0,9,84.0,11,29,5.0,2.0,60558.0,52.0,26484,21.7,17.8,1.1,0.5,0.5,0.0,2.7,94.2,1,49.5,13320.0,IA,6392.590355839966,82.0,59.6,94.9
19017,4189.0,11,13,34,8.8,23,22,3.0,48.0,3522.0,45.0,94.0,78,2.8,4.0,9.3,No,10,10,1,1,82.1,213.0,10,34.0,10,27,4.0,2.0,64213.0,29.0,24911,22.4,19.3,1.2,0.1,1.1,0.0,1.6,95.1,0,50.6,15655.0,IA,6265.563981781704,82.0,55.9,91.7
19019,6124.0,12,16,33,8.4,28,22,5.0,29.0,2264.0,49.0,94.0,68,3.2,4.2,9.7,No,10,7,1,2,79.2,246.0,10,53.0,11,28,6.0,3.0,62294.0,48.0,21202,26.5,17.6,0.5,0.3,0.6,0.0,1.6,96.1,0,50.2,14364.0,IA,5411.476510822264,82.0,50.3,90.4
19021,4306.0,17,14,33,8.9,24,19,9.0,49.0,2819.0,50.0,68.0,52,2.7,3.8,8.7,No,15,8,6,1,81.5,147.0,10,133.0,9,29,11.0,5.0,53230.0,45.0,20110,25.5,15.7,3.0,0.6,9.2,1.6,25.8,59.5,11,49.2,8896.0,IA,6838.441517937796,82.0,61.0,85.8
19027,6252.0,11,14,33,8.8,27,21,4.0,88.0,3464.0,58.0,95.0,74,2.3,4.4,8.9,No,9,8,1,1,79.5,236.0,8,77.0,10,29,4.0,2.0,55084.0,25.0,20320,24.4,19.8,1.2,0.3,0.5,0.0,2.4,94.9,0,50.8,10832.0,IA,5598.453782324957,82.0,57.9,98.1
19031,4020.0,11,14,36,8.6,28,20,4.0,27.0,3381.0,52.0,91.0,70,2.9,3.4,10.4,No,8,7,1,1,82.0,170.0,10,58.0,9,27,4.0,2.0,63430.0,35.0,18543,22.6,19.1,0.6,0.2,0.6,0.1,2.0,95.4,0,50.1,15432.0,IA,4924.419171999353,82.0,56.0,88.1
19033,8031.0,13,14,32,8.2,22,22,4.0,158.0,4413.0,56.0,91.0,71,3.1,4.1,8.6,No,10,9,1,1,78.3,588.0,10,60.0,12,26,5.0,2.0,54454.0,31.0,43006,20.9,21.2,1.7,0.3,1.2,0.1,4.9,90.5,0,51.1,9092.0,IA,12546.955271990795,82.0,59.1,90.2
19041,5612.0,13,15,37,8.4,21,20,4.0,73.0,3679.0,55.0,89.0,66,3.8,4.7,8.2,No,8,7,2,1,80.6,187.0,12,58.0,12,29,5.0,2.0,53615.0,50.0,16170,22.5,20.4,0.8,0.4,0.8,0.0,3.6,93.5,2,50.7,5715.0,IA,4716.360415458295,82.0,49.4,87.9
